French,English
partie,part
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
nouvelle,new
boulot,job
terre,Earth
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
